timestamp,name,old_price,new_price,price_change,price_trend,price_change_amount,price_change_percent,image_url,full_content,scraped_at
今天 19:18,,3118,2949.5,3118 >> 2949.5,,,,https://img.zbt.com/e/steam/item/730/4piFIE1vdG8gR2xvdmVzIHwgU21va2UgT3V0IChNaW5pbWFsIFdlYXIp.png,今天 19:18YOUPIN摩托手套（★） | 小心烟雾弹 (略有磨损)在售价¥ 3118 >> 2949.5在售数88 >> 89求购价¥ 3170 >> 3170求购数¥ 53 >> 51在售列表均价下跌-85.85 (-2.75%)¥,2026-03-14T22:44:30.961332
今天 19:18,,2979.5,2875,2979.5 >> 2875,,,,https://img.zbt.com/e/steam/item/730/4piFIEhhbmQgV3JhcHMgfCBDQVVUSU9OISAoTWluaW1hbCBXZWFyKQ==.png,今天 19:18YOUPIN裹手（★） | 警告！ (略有磨损)在售价¥ 2979.5 >> 2875在售数196 >> 199求购价¥ 2800 >> 2850求购数¥ 54 >> 56在售列表均价下跌-65.35 (-2.19%)¥,2026-03-14T22:44:30.961351
今天 19:11,,5848.5,6198.5,5848.5 >> 6198.5,,,,https://img.zbt.com/e/steam/item/730/TTRBNCB8IEhlbGxmaXJlIChGYWN0b3J5IE5ldyk=.png,今天 19:11YOUPINM4A4 | 地狱烈焰 (崭新出厂)在售价¥ 5848.5 >> 6198.5在售数540 >> 500求购价¥ 5760 >> 5880求购数¥ 51 >> 56在售列表均价上涨330.60 (5.61%)¥,2026-03-14T22:44:30.961371
今天 19:09,,44.9,44.9,44.9 >> 44.9,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBJY2UgQ29hbGVkIChXZWxsLVdvcm4p.png,今天 19:09BUFFAK-47 | 可燃冰 (破损不堪)在售价¥ 44.9 >> 44.9在售数58 >> 55求购价¥ 42.1 >> 41.3求购数¥ 67 >> 68在售列表均价上涨1.28 (2.77%)¥,2026-03-14T22:44:30.961393
今天 19:09,,34.07,36.45,34.07 >> 36.45,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBJY2UgQ29hbGVkIChCYXR0bGUtU2NhcnJlZCk=.png,今天 19:09BUFFAK-47 | 可燃冰 (战痕累累)在售价¥ 34.07 >> 36.45在售数294 >> 286求购价¥ 33.3 >> 33.4求购数¥ 153 >> 154在售列表均价上涨1.69 (4.86%)¥,2026-03-14T22:44:30.961413
今天 19:08,,58,56.69,58 >> 56.69,,,,https://img.zbt.com/e/steam/item/730/RGVzZXJ0IEVhZ2xlIHwgU3B1dG5payAoRmFjdG9yeSBOZXcp.png,今天 19:08BUFF沙漠之鹰 | 人造卫星 (崭新出厂)在售价¥ 58 >> 56.69在售数906 >> 909求购价¥ 54 >> 52求购数¥ 585 >> 586在售列表均价下跌-2.53 (-4.27%)¥,2026-03-14T22:44:30.961433
今天 19:05,,189,195,189 >> 195,,,,https://img.zbt.com/e/steam/item/730/TVA3IHwgRmFkZSAoRmFjdG9yeSBOZXcp.png,今天 19:05BUFFMP7 | 渐变之色 (崭新出厂)在售价¥ 189 >> 195在售数571 >> 550求购价¥ 191 >> 191求购数¥ 127 >> 127在售列表均价上涨5.49 (2.85%)¥,2026-03-14T22:44:30.961457
今天 19:05,,175,175,175 >> 175,,,,https://img.zbt.com/e/steam/item/730/R2xvY2stMTggfCBOdWNsZWFyIEdhcmRlbiAoRmFjdG9yeSBOZXcp.png,今天 19:05BUFF格洛克18型 | 核子花园 (崭新出厂)在售价¥ 175 >> 175在售数261 >> 258求购价¥ 165 >> 165求购数¥ 115 >> 114在售列表均价上涨8.50 (4.79%)¥,2026-03-14T22:44:30.961478
今天 19:03,,59.99,57.99,59.99 >> 57.99,,,,https://img.zbt.com/e/steam/item/730/QVdQIHwgUGhvYm9zIChGYWN0b3J5IE5ldyk=.png,今天 19:03BUFFAWP | 火卫一 (崭新出厂)在售价¥ 59.99 >> 57.99在售数498 >> 500求购价¥ 57 >> 56求购数¥ 96 >> 95在售列表均价下跌-1.36 (-2.22%)¥,2026-03-14T22:44:30.961500
今天 18:48,,3018,2979.5,3018 >> 2979.5,,,,https://img.zbt.com/e/steam/item/730/4piFIEhhbmQgV3JhcHMgfCBDQVVUSU9OISAoTWluaW1hbCBXZWFyKQ==.png,今天 18:48YOUPIN裹手（★） | 警告！ (略有磨损)在售价¥ 3018 >> 2979.5在售数189 >> 196求购价¥ 2900 >> 2800求购数¥ 56 >> 54在售列表均价下跌-64.20 (-2.11%)¥,2026-03-14T22:44:30.961522
